address_geo,count,perc,cumperc,geocode_yes,latitude,longitude,,
Flower Street and 52nd  PL Los Angeles 90037,1,2.48E-04,0.688305253,1,33.995032,-118.280968,,
Flower to Grand and 52nd PL Los Angeles,4,9.91E-04,0.089940535,1,33.995035,-118.280564,,
Flower to Grand and 52nd PL Los Angeles 90037,3,7.43E-04,0.134786918,1,33.995035,-118.280564,,
Grand Ave. to Flower St. and 52nd  PL Los Angeles 90037,2,4.96E-04,0.234886026,1,33.995035,-118.280564,,
Grand Ave. to Flower St. and 52nd PL Los Angeles 90037,2,4.96E-04,0.235381566,1,33.995035,-118.280564,,
Flower to Grand and 52nd Pl Los Angeles,1,2.48E-04,0.696481665,1,33.995035,-118.280564,,
Grand and Flower and 52nd ST Los Angeles 90037,1,2.48E-04,0.732656095,1,33.995035,-118.280564,,
Grand Ave & Flower Ave and 52nd PL Los Angeles,1,2.48E-04,0.721010902,1,33.995035,-118.280564,,
Grand Avenue to Flower Street and 52nd PL Los Angeles 90037,1,2.48E-04,0.726461843,1,33.995035,-118.280564,,
Grand to Flower and 52nd PL Los Angeles,1,2.48E-04,0.735629336,1,33.995035,-118.280564,,
Grand to Flower and 52nd Pl Los Angeles,1,2.48E-04,0.735877106,1,33.995035,-118.280564,,
Harbor Freeway and 52nd  PL Los Angeles 90037,1,2.48E-04,0.747026759,1,33.995035,-118.280564,,
Harbor Freeway and 52nd PL Los Angeles 90037,1,2.48E-04,0.747274529,1,33.995035,-118.280564,,
Harbor FRWY (110 FWY) and 52nd  PL Los Angeles 90037,1,2.48E-04,0.746283449,1,33.995035,-118.280564,,
Harbor FRWY and 52nd ST Los Angeles 90037,1,2.48E-04,0.746531219,1,33.995035,-118.280564,,
Main St and Dudley  CT Los Angeles 90291,1,2.48E-04,0.797324083,1,33.995115,-118.477249,,
From 4th Ave to 3rd Ave and Sunset AVE Los Angeles 90291,6,0.00148662,0.043607532,1,33.995724,-118.474004,,
4th to 3rd Ave and Sunset AVE Los Angeles 90291,3,7.43E-04,0.127353816,1,33.995724,-118.473994,,
from 4th Ave to 3rd Ave and Sunset  AVE Los Angeles 90291,2,4.96E-04,0.277006938,1,33.995724,-118.474004,,
From 4th Ave to 3rd Ave and Sunset  AVE Los Angeles 90291,1,2.48E-04,0.699950446,1,33.995724,-118.474004,,
from 4th Ave to 3rd Ave and Sunset AVE Los Angeles 90291,1,2.48E-04,0.983151635,1,33.995724,-118.474004,,
Flower and 52nd  PL Los Angeles 90037,1,2.48E-04,0.691030723,1,33.99576,-118.281077,,
grand and 52nd PL Los Angeles,1,2.48E-04,0.984886026,1,33.995779,-118.280095,,
Flower to Grand and 51st and 52nd ST Los Angeles,1,2.48E-04,0.696233895,1,33.996127,-118.280618,,
OHS and Venice Los Angeles,1,2.48E-04,0.825322101,,33.9962,-118.475346,,
OHS Venice . Los Angeles 90292,1,2.48E-04,0.824578791,,33.9962,-118.475346,,
OHS VENICE and OHS VENICE Los Angeles 90291,1,2.48E-04,0.824331021,,33.9962,-118.475346,,
OHS Venice and OHS Venice Los Angeles 90291,1,2.48E-04,0.824826561,,33.9962,-118.475346,,
Grand Ave. to Flower St. and 51st ST Los Angeles 90037,5,0.00123885,0.056739346,1,33.996505,-118.280618,,
Flower to Grand and 51st ST Los Angeles 90037,4,9.91E-04,0.088949455,1,33.996505,-118.280618,,
Flower to Grand and 51st ST Los Angeles,3,7.43E-04,0.134043608,1,33.996505,-118.280618,,
Flower to Grand and 51st St Los Angeles,1,2.48E-04,0.695986125,1,33.996505,-118.280618,,
Grand Avenue to Flower Street and 51st ST Los Angeles 90037,1,2.48E-04,0.726214073,1,33.996505,-118.280618,,
Grand to Flower and 51st ST Los Angeles,1,2.48E-04,0.735381566,1,33.996505,-118.280618,,
Harbor Frwy and 51st ST Los Angeles 90037,1,2.48E-04,0.747770069,1,33.996505,-118.280618,,
Grand and 51st Los Angeles 90034,1,2.48E-04,0.729930624,1,33.996514,-118.280108,,
Rose Ave and Hampton AVE Los Angeles 90291,3,7.43E-04,0.156342914,1,33.99654,-118.477,,
Rose and Hampton  DR Los Angeles 90291,2,4.96E-04,0.256689792,1,33.99654,-118.477,,
Rose Ave. and Hampton  AVE Los Angeles 90291,1,2.48E-04,0.85877106,1,33.99654,-118.477,,
Rose Ave/ Hampton / Sunset and 3rd Los Angeles,1,2.48E-04,0.859266601,1,33.99654,-118.477,,
47th St to 57th St. and Flower St & Grand  AVE Los Angeles 90037,1,2.48E-04,0.521308226,1,33.996543,-118.280495,,
