latitude,longitude,dataset
33.929,-118.232,LAHSA
34.235,-118.44,LAHSA
34.186,-118.367,LAHSA
34.062,-118.017,LAHSA
33.985,-118.312,LAHSA
33.928,-118.338,LAHSA
34.025,-118.269,LAHSA
34.145,-117.932,LAHSA
33.986,-118.308,LAHSA
34.062,-118.093,LAHSA
34.049,-118.275,LAHSA
33.967,-118.055,LAHSA
33.989,-118.163,LAHSA
33.986,-118.471,LAHSA
33.787,-118.295,LAHSA
33.92,-118.037,LAHSA
34.065,-117.929,LAHSA
34.159,-117.914,LAHSA
34.099,-118.313,LAHSA
34.083,-118.355,LAHSA
33.961,-118.11,LAHSA
34.052,-118.264,LAHSA
34.586,-118.144,LAHSA
34.12,-117.884,LAHSA
34.023,-118.274,LAHSA
33.996,-118.475,LAHSA
33.774,-118.28,LAHSA
34.673,-118.12,LAHSA
33.993,-118.479,LAHSA
34.704,-118.125,LAHSA
34.027,-118.252,LAHSA
34.718,-118.141,LAHSA
34.094,-118.331,LAHSA
33.938,-118.31,LAHSA
33.794,-118.289,LAHSA
34.094,-118.33,LAHSA
33.737,-118.305,LAHSA
34.072,-118.032,LAHSA
34.069,-118.028,LAHSA
34.166,-118.323,LAHSA
33.948,-118.272,LAHSA
34.031,-118.01,LAHSA
34.236,-118.462,LAHSA
34.145,-117.99,LAHSA
34.665,-118.147,LAHSA
33.778,-118.263,LAHSA
34.028,-117.912,LAHSA
33.993,-118.308,LAHSA
34.168,-118.527,LAHSA
33.874,-118.145,LAHSA
33.892,-118.15,LAHSA
34.077,-118.291,LAHSA
34.06,-118.147,LAHSA
33.924,-118.151,LAHSA
33.737,-118.281,LAHSA
33.777,-118.261,LAHSA
34.057,-118.029,LAHSA
34.703,-118.235,LAHSA
34.086,-118.186,LAHSA
34.028,-118.252,LAHSA
33.774,-118.263,LAHSA
34.074,-118.232,LAHSA
34.07,-117.939,LAHSA
34.071,-117.94,LAHSA
34.05,-118.257,LAHSA
34.036,-118.256,LAHSA
34.704,-118.146,LAHSA
33.985,-118.472,LAHSA
33.929,-118.254,LAHSA
33.932,-118.254,LAHSA
33.928,-118.264,LAHSA
34.27,-118.425,LAHSA
34.076,-117.985,LAHSA
34.146,-118.413,LAHSA
34.133,-117.903,LAHSA
34.202,-118.45,LAHSA
34.035,-118.159,LAHSA
34.235,-118.603,LAHSA
33.991,-118.11,LAHSA
34.223,-118.425,LAHSA
34.222,-118.428,LAHSA
34.212,-118.448,LAHSA
33.946,-118.346,LAHSA
33.871,-118.143,LAHSA
34.258,-118.432,LAHSA
34.188,-118.318,LAHSA
34.039,-118.276,LAHSA
33.993,-118.476,LAHSA
33.991,-118.172,LAHSA
34.214,-118.361,LAHSA
34.116,-117.902,LAHSA
34.194,-118.381,LAHSA
34.005,-118.331,LAHSA
33.981,-118.315,LAHSA
34.062,-117.908,LAHSA
34.129,-117.902,LAHSA
34.102,-118.316,LAHSA
35.172,-119.163,LAHSA
34.043,-118.246,LAHSA
34.186,-118.45,LAHSA
